Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
199,Spectrogram 1,1,45039,45042,0,12000,Black Redstart,blared1,0.8265,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044002.wav,18
200,Spectrogram 1,1,45042,45045,0,12000,Black Redstart,blared1,0.9931,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044002.wav,21
201,Spectrogram 1,1,45066,45069,0,12000,Black Redstart,blared1,0.83,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044002.wav,45
202,Spectrogram 1,1,45075,45078,0,12000,Black Redstart,blared1,0.9197,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044002.wav,54
203,Spectrogram 1,1,45099,45102,0,12000,Black Redstart,blared1,0.3857,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044502.wav,21
204,Spectrogram 1,1,45102,45105,0,12000,Black Redstart,blared1,0.9044,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044502.wav,24
205,Spectrogram 1,1,45144,45147,0,12000,Black Redstart,blared1,0.5887,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_045002.wav,9
206,Spectrogram 1,1,45150,45153,0,12000,Black Redstart,blared1,0.5023,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_045002.wav,15
207,Spectrogram 1,1,45201,45204,0,12000,Black Redstart,blared1,0.1669,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_045502.wav,9
208,Spectrogram 1,1,45213,45216,0,12000,Black Redstart,blared1,0.6796,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_045502.wav,21
209,Spectrogram 1,1,45612,45615,0,12000,Black Redstart,blared1,0.6679,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_053000.wav,12
210,Spectrogram 1,1,45849,45852,0,12000,Black Redstart,blared1,0.5422,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_055000.wav,9
211,Spectrogram 1,1,45945,45948,0,12000,Black Redstart,blared1,0.1952,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_055500.wav,45
212,Spectrogram 1,1,46017,46020,0,12000,Black Redstart,blared1,0.9045,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_060000.wav,57
213,Spectrogram 1,1,46143,46146,0,12000,Black Redstart,blared1,0.2912,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_061500.wav,3
214,Spectrogram 1,1,46176,46179,0,12000,Black Redstart,blared1,0.8764,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_061500.wav,36
215,Spectrogram 1,1,46185,46188,0,12000,Black Redstart,blared1,0.1074,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_061500.wav,45
216,Spectrogram 1,1,46197,46200,0,12000,Black Redstart,blared1,0.8268,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_061500.wav,57
217,Spectrogram 1,1,46209,46212,0,12000,Black Redstart,blared1,0.3563,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062000.wav,9
218,Spectrogram 1,1,46224,46227,0,12000,Black Redstart,blared1,0.9935,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062000.wav,24
219,Spectrogram 1,1,46245,46248,0,12000,Black Redstart,blared1,0.1735,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062000.wav,45
220,Spectrogram 1,1,46275,46278,0,12000,Black Redstart,blared1,0.4299,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062500.wav,15
221,Spectrogram 1,1,46287,46290,0,12000,Black Redstart,blared1,0.6973,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062500.wav,27
222,Spectrogram 1,1,46311,46314,0,12000,Black Redstart,blared1,0.195,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062500.wav,51
223,Spectrogram 1,1,46317,46320,0,12000,Black Redstart,blared1,0.6142,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_062500.wav,57
224,Spectrogram 1,1,46332,46335,0,12000,Black Redstart,blared1,0.1184,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_063000.wav,12
225,Spectrogram 1,1,46344,46347,0,12000,Black Redstart,blared1,0.8021,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_063000.wav,24
226,Spectrogram 1,1,46347,46350,0,12000,Black Redstart,blared1,0.7632,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_063000.wav,27
227,Spectrogram 1,1,46356,46359,0,12000,Black Redstart,blared1,0.5614,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_063000.wav,36
228,Spectrogram 1,1,46359,46362,0,12000,Black Redstart,blared1,0.115,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_063000.wav,39
229,Spectrogram 1,1,47265,47268,0,12000,Black Redstart,blared1,0.9323,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_074500.wav,45
230,Spectrogram 1,1,55155,55158,0,12000,Black Redstart,blared1,0.9756,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_184500.wav,15
231,Spectrogram 1,1,55176,55179,0,12000,Black Redstart,blared1,0.2995,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_184500.wav,36
232,Spectrogram 1,1,55188,55191,0,12000,Black Redstart,blared1,0.3831,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_184500.wav,48
233,Spectrogram 1,1,61443,61446,0,12000,Black Redstart,blared1,0.1775,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_035002.wav,12
234,Spectrogram 1,1,61479,61482,0,12000,Black Redstart,blared1,0.3808,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_035002.wav,48
235,Spectrogram 1,1,61503,61506,0,12000,Black Redstart,blared1,0.1177,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_035502.wav,15
236,Spectrogram 1,1,61512,61515,0,12000,Black Redstart,blared1,0.1926,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_035502.wav,24
237,Spectrogram 1,1,61524,61527,0,12000,Black Redstart,blared1,0.6992,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_035502.wav,36
238,Spectrogram 1,1,61602,61605,0,12000,Black Redstart,blared1,0.9813,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_040502.wav,0
239,Spectrogram 1,1,61632,61635,0,12000,Black Redstart,blared1,0.3146,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_040502.wav,30
240,Spectrogram 1,1,61644,61647,0,12000,Black Redstart,blared1,0.2013,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_040502.wav,42
241,Spectrogram 1,1,61674,61677,0,12000,Black Redstart,blared1,0.6201,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_041002.wav,15
242,Spectrogram 1,1,61680,61683,0,12000,Black Redstart,blared1,0.6082,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_041002.wav,21
243,Spectrogram 1,1,61683,61686,0,12000,Black Redstart,blared1,0.1094,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_041002.wav,24
244,Spectrogram 1,1,61701,61704,0,12000,Black Redstart,blared1,0.156,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_041002.wav,42
245,Spectrogram 1,1,61707,61710,0,12000,Black Redstart,blared1,0.3505,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_041002.wav,48
246,Spectrogram 1,1,61734,61737,0,12000,Black Redstart,blared1,0.3724,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_041502.wav,18
247,Spectrogram 1,1,61788,61791,0,12000,Black Redstart,blared1,0.1976,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_042002.wav,15
248,Spectrogram 1,1,61794,61797,0,12000,Black Redstart,blared1,0.8394,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_042002.wav,21
249,Spectrogram 1,1,61797,61800,0,12000,Black Redstart,blared1,0.2351,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_042002.wav,24
250,Spectrogram 1,1,61812,61815,0,12000,Black Redstart,blared1,0.325,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_042002.wav,39
